bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,absolute,signal,12,1.9370721519029093,1.651233469449115,3.415939929974801,0.1723656913772229,0.035697546526615116,0.08898258704916961,3.243574238597578,0.9495407721123204,0.9110174129508304,0.003954940241954096
0.005,Waksman,absolute,signal,17,2.0475797663014292,1.9421800567522813,3.78674741153415,0.20301241151956012,0.020647543612244683,0.0991474983591307,3.58373500001459,0.9463887105590408,0.9008525016408693,0.0020437818478464317
0.005,Robbins,absolute,signal,16,2.1537811794702613,2.028905651174714,4.002523749203701,0.18016308144127421,0.010675139436829982,0.08364966838719738,3.822360667762427,0.9549876296231553,0.9163503316128027,0.0024472499449820343
0.01,Krebs,absolute,signal,17,2.041990384285163,2.1215754152513706,3.9280883776873274,0.23547742184920678,0.037318067215910106,0.11099177533658718,3.692610955838121,0.9400529216229486,0.8890082246634128,0.005791658568665163
0.01,Waksman,absolute,signal,24,2.1413926202896056,2.3685663786540525,4.24721171259206,0.2627472863515988,0.011874282989463173,0.1109309364177102,3.984464426240461,0.9381365224689389,0.8890690635822898,0.0021765610231831148
0.01,Robbins,absolute,signal,18,2.1687628078994807,2.1747681102839573,4.1407621686815475,0.2027687495018916,0.013212192964523138,0.09323695181249293,3.937993419179656,0.9510310563027446,0.9067630481875071,0.004067009967889811
0.05,Krebs,absolute,signal,13,2.0758033581923527,1.9207665337320383,3.744986592419042,0.25158329950534974,0.07064015289110127,0.12119804051402684,3.4934032929136922,0.9328213083553814,0.8788019594859732,0.01576338344478835
0.05,Waksman,absolute,signal,20,2.1474566135201387,2.2133016432134305,4.101325336779965,0.25943291995360535,0.029600088099406098,0.11721534692259207,3.8418924168263597,0.9367441257032071,0.8827846530774079,0.00189123986648426
0.05,Robbins,absolute,signal,21,2.173947340681592,2.4124681524755114,4.315568042105492,0.27084745105161134,0.031243518009668233,0.11226985557247089,4.044720591053881,0.937239443704966,0.8877301444275291,0.006613582056936646
0.1,Krebs,absolute,signal,17,2.071437547115035,2.086103995017642,3.942520340525979,0.2150212016066985,0.02964678644884508,0.10307309804316829,3.7274991389192804,0.9454609785023932,0.8969269019568317,0.006422763089636093
0.1,Waksman,absolute,signal,19,2.147798040709119,2.199102778690796,4.10981813211215,0.2370826872877648,0.024771937669215927,0.10780882530142981,3.8727354448243854,0.942313095210877,0.8921911746985702,0.0024634482555231187
0.1,Robbins,absolute,signal,20,2.1738193908779597,2.357381918731454,4.3037336682511995,0.22746764135821523,0.013914542586765666,0.09649163741809783,4.076266026892984,0.9471464409992997,0.9035083625819021,0.004672087582274383
0.2,Krebs,absolute,signal,7,2.049110318242837,1.630709170779989,3.5790535739395195,0.10076591508330646,0.02149721112532125,0.0491754466249117,3.478287658856213,0.9718456533266162,0.9508245533750883,0.010587908149907389
0.2,Waksman,absolute,signal,12,2.147798040709119,2.0212082240749654,3.9930422327590556,0.17596403202502975,0.03181823489418579,0.08192764342355642,3.817078200734026,0.9559323388614789,0.9180723565764436,0.009432976596219105
0.2,Robbins,absolute,signal,10,2.1699746019928434,1.8115984620368,3.8707218912681722,0.11085117276147127,0.008845484485189159,0.05108408764769351,3.759870718506701,0.9713616281728903,0.9489159123523065,-0.00015827639458138777
1.0,Krebs,absolute,signal,4,2.06913790058227,1.0419098844311434,3.0633640960929402,0.04768368892047211,0.009997308683000816,0.0230451962177357,3.0156804071724683,0.9844342078105282,0.9769548037822643,0.007224188294275737
1.0,Waksman,absolute,signal,6,2.0620047970505446,1.3582356638299051,3.342137956273863,0.07810250460658688,0.012508907454259826,0.03787697522251322,3.264035451667276,0.9766309752534383,0.9621230247774868,0.0027507843451594727
1.0,Robbins,absolute,signal,7,2.1655285288962656,1.5662726907105757,3.615392370626809,0.11640884898003268,0.02618726435031788,0.05375539847510779,3.4989835216467764,0.9678018767960583,0.9462446015248922,0.008445353530189837
2.0,Krebs,absolute,signal,4,1.9203283620138882,1.3227599343394811,3.1604027603770803,0.08268553597628918,0.016500821551524974,0.04305801945745109,3.077717224400791,0.9738370257699611,0.9569419805425489,0.014240276396550684
2.0,Waksman,absolute,signal,5,2.028486626435313,1.0031747253998178,2.9775840827162035,0.054077269118926255,0.00741913470005254,0.026658923166753622,2.9235068135972773,0.9818385417114415,0.9733410768332463,-0.0003772437144726996
2.0,Robbins,absolute,signal,5,2.1391378669543637,1.463525621740564,3.473430835421546,0.12923265327338196,0.026834725405164173,0.06041342882559472,3.344198182148164,0.9627939465627223,0.9395865711744052,0.010146975737656954
3.0,Krebs,absolute,signal,3,1.8259768970964987,0.9767171033020051,2.735775392819181,0.06691860757932275,-0.00787460964283551,0.03664811295571735,2.6688567852398584,0.9755394365506139,0.9633518870442827,-0.013785761738708187
3.0,Waksman,absolute,signal,3,1.99647756110608,0.9151370870146485,2.8680272183755458,0.04358742974518319,0.011049234689996069,0.02183216610811046,2.8244397886303627,0.9848022956456212,0.9781678338918895,0.006428939158380898
3.0,Robbins,absolute,signal,3,2.0378126083039687,1.0775823777964073,3.0532584110797627,0.062136575020612914,0.007975209441631808,0.03049180026044101,2.9911218360591496,0.9796490939662592,0.969508199739559,0.00937976129248794
