bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,absolute,total,23,2.193273740206916,2.5310250422379146,3.6318704351652515,1.0924283472795782,0.38257477392816,0.43161498959870453,2.539442087885673,0.6992105399184285,0.5683850104012955,0.1478847622937982
0.005,Waksman,absolute,total,28,2.145628199998039,2.923235681106542,4.345039567605774,0.7238243134988079,0.17742369621433723,0.24761065903000212,3.621215254106966,0.8334136427904492,0.7523893409699979,0.056832885516796244
0.005,Robbins,absolute,total,17,2.1695314066481255,2.4338769660656743,4.136646677346885,0.466761695366915,0.13875925199015368,0.19177702976557118,3.66988498197997,0.8871642342762807,0.8082229702344288,0.035124924601854325
0.01,Krebs,absolute,total,24,2.193175398663444,2.687310551626617,3.713288234356306,1.1671977159337554,0.3854374187481069,0.4343367443064055,2.5460905184225506,0.685670047066495,0.5656632556935945,0.1482478259497622
0.01,Waksman,absolute,total,30,2.1455750176269754,3.042727591855837,4.365859517113956,0.822443092368857,0.20081633940599655,0.2702979703376036,3.5434164247450983,0.8116194327497437,0.7297020296623964,0.0804510981757415
0.01,Robbins,absolute,total,19,2.1696529688980912,2.4718667174562103,4.17392681465968,0.46759287169462127,0.13089849288583263,0.18916589166903772,3.706333942965059,0.8879729107725751,0.8108341083309623,0.03573760775425714
0.05,Krebs,absolute,total,21,2.193175398663444,2.7058659350119707,3.7171118788869175,1.181929454788496,0.39541510149740505,0.43680266619834124,2.5351824240984215,0.6820301639286621,0.5631973338016587,0.2007022002354516
0.05,Waksman,absolute,total,25,2.145357364078959,2.7585545072299165,4.149614241448863,0.7542976298600109,0.21089737958051613,0.2734394509454378,3.3953166115888522,0.8182246382505562,0.7265605490545621,0.07233621368085626
0.05,Robbins,absolute,total,26,2.1696044707022595,2.875243870383377,4.416422346791068,0.6284259942945685,0.1488397936679484,0.21856441492414205,3.7879963524964992,0.8577069978936283,0.781435585075858,0.051315838848116926
0.1,Krebs,absolute,total,21,2.193175398663444,2.640921549121887,3.7685735025725497,1.0655234452127802,0.3584127978121227,0.4034665268898539,2.7030500573597696,0.7172608031963768,0.5965334731101462,0.17140932912263926
0.1,Waksman,absolute,total,26,2.145357364078959,2.8656715258741374,4.27869813288456,0.7323307570685371,0.19034502704917242,0.2555529307725346,3.546367375816023,0.8288426212075813,0.7444470692274654,0.058617881277549175
0.1,Robbins,absolute,total,21,2.1696044707022595,2.723496850672482,4.424192086018476,0.46890923535626583,0.11132672487940225,0.17217175604241416,3.9552828506622095,0.8940124600742059,0.8278282439575858,0.03330489053449056
0.2,Krebs,absolute,total,24,2.193175398663444,2.8986733370038076,4.061966372475082,1.0298823631921696,0.30383754407302604,0.3552943858988609,3.0320840092829124,0.7464571912335576,0.6447056141011391,0.17548593400697265
0.2,Waksman,absolute,total,23,2.145357364078959,2.797293043152584,4.288094660366653,0.6545557468648909,0.17450968193342256,0.23399613010412326,3.633538913501762,0.8473551078723334,0.7660038698958768,0.07205571301288723
0.2,Robbins,absolute,total,27,2.1696044707022595,2.828851561516705,4.4435127109308805,0.5549433212880841,0.11985677710790713,0.19617265495208527,3.8885693896427966,0.8751115710948809,0.8038273450479148,0.031132735012046504
1.0,Krebs,absolute,total,16,2.193175398663444,2.605086906790225,4.195359822970967,0.6029024824827025,0.1897350325246734,0.23143277136406543,3.5924573404882643,0.8562930218329273,0.7685672286359346,0.12023255391038816
1.0,Waksman,absolute,total,18,2.145357364078959,2.611995812634364,4.238770855390563,0.5185823213227592,0.1490246883981469,0.19853872613973908,3.7201885340678045,0.877657382525582,0.8014612738602609,0.0802267063642503
1.0,Robbins,absolute,total,18,2.1696044707022595,2.552332410054687,4.39471427115348,0.32722260960346683,0.07155697988711937,0.12820532635733592,4.0674916615500125,0.9255417782786637,0.871794673642664,0.030855831843155806
2.0,Krebs,absolute,total,15,2.193175398663444,2.431633964655956,4.09720906199497,0.5276003013244291,0.17399755812085005,0.21697356962156003,3.5696087606705413,0.8712293433551239,0.78302643037844,0.08681363134207659
2.0,Waksman,absolute,total,13,2.145357364078959,2.1502461651701665,3.8950983209931036,0.400505208256022,0.14359771980509808,0.18626016627464917,3.4945931127370815,0.8971771248757828,0.8137398337253509,0.054148787599834054
2.0,Robbins,absolute,total,15,2.1696044707022595,2.4095261143413773,4.318928089149623,0.26020249589401306,0.059073371538276166,0.10798907484143917,4.05872559325561,0.9397529918250512,0.8920109251585608,0.02065927529148342
3.0,Krebs,absolute,total,13,2.193175398663444,2.3074041484047125,4.169546748165351,0.33103279890280546,0.10160653129268274,0.14346546058334603,3.8385139492625457,0.9206070062535061,0.8565345394166539,0.06940594102672701
3.0,Waksman,absolute,total,15,2.145357364078959,2.4538464721116653,4.239711071479824,0.3594927647108004,0.10064222071303076,0.14650173464252547,3.8802183067690232,0.9152081925749427,0.8534982653574745,0.04713725210462858
3.0,Robbins,absolute,total,14,2.1696044707022595,2.2867095258507715,4.235745728668905,0.22056826788412454,0.047348282487437714,0.09645661829394883,4.0151774607847805,0.9479269337648748,0.9035433817060512,0.009460986577216581
