bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,negative,conditional,3,2.1756520560823907,0.7007017487445957,2.8193600025589167,0.056993802268069646,0.017842070763393465,0.02619619350839403,2.762366200290847,0.9797848440013547,0.9738038064916059,0.015117843085011098
0.005,Waksman,negative,conditional,3,2.1510359683012106,1.0146372354515631,3.1173502639105437,0.048322939842230274,0.010888758765600472,0.02246496132763113,3.0690273240683132,0.984498713410019,0.9775350386723689,0.009509682516690335
0.005,Robbins,negative,conditional,2,2.1568387375698306,0.6349883308854859,2.7530959872172565,0.03873108123806045,0.011808882306539321,0.017957337543788657,2.714364905979196,0.9859318086191362,0.9820426624562113,0.00816761067403914
0.01,Krebs,negative,conditional,3,2.1794690060392723,0.6277623384362604,2.7586119490365437,0.048619395438989715,0.012805697095669527,0.02230790862557172,2.709992553597554,0.9823754133103171,0.9776920913744283,0.0028861556460053153
0.01,Waksman,negative,conditional,5,2.146642100431161,0.911019341099557,2.9662946604414246,0.0913667810892935,0.022193011354553576,0.042562652186380834,2.874927879352131,0.9691983462372221,0.9574373478136191,0.009591880596103703
0.01,Robbins,negative,conditional,3,2.154636446476994,1.040698274089955,3.1201655356395674,0.07516918492738213,0.025004171202065547,0.03488717785791188,3.0449963507121853,0.975908590724186,0.9651128221420882,0.017046961326384155
0.05,Krebs,negative,conditional,5,2.187009244488953,0.6874914558860595,2.8319024542928712,0.042598246082140995,0.006349406766643874,0.019477853689683466,2.7893042082107304,0.9849577283223274,0.9805221463103165,0.0019898470142852283
0.05,Waksman,negative,conditional,9,2.1451773292804917,1.4602362672995457,3.387913925405065,0.21749967117497154,0.06582257981559005,0.10139006608275251,3.1704142542300935,0.9358012995713972,0.8986099339172475,0.02448113735407128
0.05,Robbins,negative,conditional,4,2.1566074503008457,1.287146859840777,3.351400342231368,0.092353967910255,0.02978908686718482,0.04282372663479933,3.259046374321113,0.9724431704722076,0.9571762733652007,0.015498892998054216
0.1,Krebs,negative,conditional,4,2.1900379771521687,0.6825821859160021,2.8306311234692543,0.041989039598916506,0.008608384153869874,0.01917274496468652,2.7886420838703376,0.9851661916486475,0.9808272550353134,0.005255636627641824
0.1,Waksman,negative,conditional,5,2.1428229332432225,1.1511040763889602,3.1695211698601433,0.12440583977203981,0.04098093764044998,0.05805698541024484,3.0451153300881035,0.9607493267579187,0.9419430145897552,0.027933341965525004
0.1,Robbins,negative,conditional,4,2.1564508204950936,1.2817643386589683,3.3634524843925333,0.07476267476152851,0.021792337467648394,0.03466931591992621,3.2886898096310047,0.9777720437233912,0.9653306840800738,0.016001667734223825
0.2,Krebs,negative,conditional,3,2.190357692430319,0.6747037084926963,2.832761565723265,0.03229983519974891,0.006929460318195794,0.014746374672672993,2.800461730523516,0.9885977571883986,0.985253625327327,0.003085462228115211
0.2,Waksman,negative,conditional,5,2.1441713340699504,1.0262234283198022,3.070155568307278,0.10023919408247402,0.030244708955016908,0.046749619533531114,2.969916374224804,0.9673504511897615,0.9532503804664689,0.02134369093564264
0.2,Robbins,negative,conditional,4,2.1569379123994334,1.3175593559684056,3.4086038785197315,0.06589338984810747,0.017826881203451127,0.03054950699754077,3.342710488671624,0.9806685105701625,0.9694504930024592,0.010598772395366728
1.0,Krebs,negative,conditional,6,2.1926864233824825,1.1847573669598954,3.278543290374534,0.09890049996784478,0.023365344797594896,0.04510471671333599,3.1796427904066893,0.9698340112640249,0.954895283286664,0.00477059781665893
1.0,Waksman,negative,conditional,4,2.1435639164477904,1.2130060454595117,3.274742521299381,0.08182744060792085,0.026148545596320672,0.03817354825767048,3.19291508069146,0.9750125574527757,0.9618264517423295,0.02055001016842118
1.0,Robbins,negative,conditional,4,2.1609832222800116,1.3571783551594834,3.4306363599641316,0.08752521747536221,0.028331809560254124,0.040502497461787815,3.3431111424887696,0.9744871772197163,0.9594975025382122,0.020184368389507358
2.0,Krebs,negative,conditional,3,2.193547253897688,0.9957030984115747,3.1417963069755075,0.04745404533375555,0.013659168132480368,0.02163347301930014,3.094342261641752,0.9848958873532327,0.9783665269806998,0.007114076959045768
2.0,Waksman,negative,conditional,5,2.143166588627247,1.51387528531234,3.562246834554155,0.09479503938543202,0.02824211585691062,0.04423129769214566,3.467451795168723,0.9733889750519502,0.9557687023078544,0.01781453618926444
2.0,Robbins,negative,conditional,5,2.1603100175821153,1.3909190802027809,3.4745499901669543,0.07667910761794161,0.017902078915435153,0.03549449245426506,3.3978708825490127,0.9779312118591055,0.9645055075457349,0.010392063618911594
3.0,Krebs,negative,conditional,3,2.19425706634025,1.0319164421389384,3.160969643838259,0.06520386464093032,0.02187261834995124,0.02971569085553058,3.0957657791973285,0.9793721952477356,0.9702843091444694,0.016473880176712412
3.0,Waksman,negative,conditional,5,2.142677832999859,1.5585262988987356,3.5934947491859823,0.1077093827126119,0.03441665849662729,0.05026858497052414,3.4857853664733702,0.9700265646034377,0.9497314150294759,0.023726663020298567
3.0,Robbins,negative,conditional,1,2.17456086311408,0.0,2.1745608631140794,-2.220446049250313e-16,-1.021100897617795e-16,-1.021100897617795e-16,2.1745608631140794,1.0,1.0,0.0
