bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,rectified,conditional,21,2.1934395790455037,2.540242781220486,3.647872070917825,1.085810289348165,0.3828719677144434,0.4274435094847415,2.56206178156966,0.7023441973185839,0.5725564905152585,0.16074524242081786
0.005,Waksman,rectified,conditional,23,2.1451549324895067,2.259458464432411,3.763436009971711,0.6411773869502059,0.215868061998911,0.28377480579678355,3.122258623021505,0.8296297890408331,0.7162251942032165,0.04802718705604076
0.005,Robbins,rectified,conditional,3,2.1709559716623534,0.5055540337675742,2.505313179372418,0.17119682605751024,0.07099198281086792,0.07885780655718258,2.334116353314908,0.9316664968407682,0.9211421934428174,0.02018203703178988
0.01,Krebs,rectified,conditional,20,2.1932941091831615,2.6265836465451833,3.6675923522681284,1.1522854034602168,0.3996723588337094,0.43870120221598463,2.5153069488079116,0.6858196623876109,0.5612987977840154,0.21936614569903892
0.01,Waksman,rectified,conditional,23,2.1455452992120834,2.51063763260987,3.986793014271135,0.6693899175508181,0.20314141207523004,0.2666214784867104,3.3174030967203167,0.8320981512823293,0.7333785215132895,0.05706604761081629
0.01,Robbins,rectified,conditional,4,2.170188483898591,0.881664001544447,2.7713207456282785,0.2805317398147592,0.1185727634819116,0.12926607153992623,2.4907890058135194,0.8987732689342097,0.8707339284600738,0.04188406433531238
0.05,Krebs,rectified,conditional,19,2.193175398663444,2.4540721808635015,3.5466747820008107,1.1005727975261337,0.4088617151752119,0.4484679815484812,2.446101984474677,0.6896888310392926,0.5515320184515188,0.15524509524279403
0.05,Waksman,rectified,conditional,23,2.145357364078959,2.541936410469073,3.941280952502231,0.7460128220458002,0.23489146641766612,0.29348209458478774,3.195268130456431,0.8107181824801977,0.7065179054152122,0.09416515287838861
0.05,Robbins,rectified,conditional,6,2.1696044707022595,1.3268802918776506,3.2536947429076393,0.24279001967227015,0.09358443099936259,0.11190519882809963,3.010904723235369,0.9253802096212311,0.8880948011719003,0.026365045697394285
0.1,Krebs,rectified,conditional,17,2.193175398663444,2.4356323595950014,3.5940235484497105,1.0347842098087339,0.3881111164616704,0.42485238206508247,2.5592393386409764,0.7120819616624131,0.5751476179349175,0.1714904189754775
0.1,Waksman,rectified,conditional,20,2.145357364078959,2.5517715484725105,3.9947017595631595,0.7024271529883104,0.2228725531301824,0.27527039143013526,3.292274606574849,0.8241603015026773,0.7247296085698647,0.08664129866110634
0.1,Robbins,rectified,conditional,10,2.1696044707022595,2.171208547070206,3.9382755333778436,0.40253748439462245,0.15490409189354767,0.18539789046878988,3.5357380489832213,0.897788389617989,0.8146021095312102,0.06333201226801305
0.2,Krebs,rectified,conditional,15,2.193175398663444,2.4389205361924504,3.8333602478189848,0.7987356870369099,0.2905636964503827,0.3274955764995383,3.034624560782075,0.7916356315607551,0.6725044235004617,0.16445148691776582
0.2,Waksman,rectified,conditional,16,2.145357364078959,2.528718444924837,4.039365410725464,0.6347103982783311,0.20891357455320372,0.2510008180437016,3.404655012447133,0.8428687841429187,0.7489991819562984,0.08970998719645301
0.2,Robbins,rectified,conditional,18,2.1696044707022595,2.6773459739537167,4.376063243891286,0.4708872007646915,0.12558744440088337,0.1758783531697692,3.9051760431265947,0.8923947908152331,0.8241216468302308,0.053682003430435825
1.0,Krebs,rectified,conditional,14,2.193273740206916,2.4618831448924174,3.988817769023351,0.6663391160759825,0.23557061976560464,0.27066236570099317,3.3224786529473684,0.8329482180783773,0.7293376342990068,0.16940887860442255
1.0,Waksman,rectified,conditional,11,2.145357364078959,2.0977755776246303,3.7622578742246415,0.48087506747894687,0.19126753659235204,0.2241468370400823,3.2813828067456945,0.8721844478621632,0.7758531629599177,0.0913212365964486
1.0,Robbins,rectified,conditional,10,2.1696044707022595,2.0724172182916356,3.9920321439353543,0.24998954505854015,0.08193061938335912,0.11522355730472078,3.742042598876814,0.9373778727111902,0.8847764426952792,0.036411336997074606
2.0,Krebs,rectified,conditional,10,2.1932941091831615,2.1252834740392337,3.907033015868612,0.41154456735378425,0.15801693209062742,0.1876376568152339,3.495488448514828,0.8946657052340548,0.8123623431847661,0.09485333428841836
2.0,Waksman,rectified,conditional,9,2.145357364078959,2.040119366092661,3.875087374742535,0.3103893554290853,0.11614578279675662,0.1446795581128467,3.5646980193134494,0.9199013272701476,0.8553204418871533,0.055527155844752506
2.0,Robbins,rectified,conditional,11,2.1698190464283043,2.158499404284875,4.1409818104756315,0.18733664023754645,0.04737067987446956,0.08633744852867689,3.9536451702380853,0.9547603324980486,0.9136625514713231,0.023831215107034474
3.0,Krebs,rectified,conditional,9,2.193175398663444,2.0252883609263477,3.8837180779395046,0.3347456816502863,0.1250708281590275,0.15263060211886642,3.5489723962892183,0.9138079348365357,0.8473693978811336,0.08378753309519425
3.0,Waksman,rectified,conditional,10,2.145357364078959,2.093921420166317,3.898635721024801,0.3406430632204756,0.1273537517260408,0.15878150135920124,3.5579926578043253,0.9126250597398893,0.8412184986407988,0.060310290748715155
3.0,Robbins,rectified,conditional,3,2.1723652923206695,0.6438246825315782,2.76200023038856,0.054189744463688336,0.018911279803166856,0.024945042463737365,2.7078104859248713,0.9803802534599844,0.9750549575362626,0.016262151381257216
