bin_width,mouse_name,correction,correlation_type,num_communities,regional_clustering_entropy,consensus_clustering_entropy,joint_entropy,mutual_information,adjusted_mutual_information,normalised_mutual_information,variation_of_information,normalised_variation_of_information,normalised_information_distance,adjusted_rand_index
0.005,Krebs,rectified,signal,3,1.9378088123919963,0.9805385135865272,2.853063158546415,0.06528416743210877,0.025020853001286363,0.03368968445938853,2.787778991114306,0.9771178681283137,0.9663103155406114,0.017706377242800643
0.005,Waksman,rectified,signal,3,2.0475797663014292,1.0140171838220933,2.97171065813698,0.08988629198654197,0.034002984080143434,0.04389879870170079,2.881824366150438,0.9697526770513744,0.9561012012982992,0.024014396139139464
0.005,Robbins,rectified,signal,8,2.155446178222694,1.9306680348449508,3.8648399383239918,0.2212742747436533,0.05230550993666276,0.1026582231462204,3.6435656635803384,0.9427468463701475,0.8973417768537796,0.024325493460594302
0.01,Krebs,rectified,signal,3,2.041990384285163,1.0477239927866577,2.9935448851282804,0.09616949194353969,0.03847449602798912,0.047095957299135675,2.8973753931847406,0.9678743778249984,0.9529040427008644,0.02704846439322921
0.01,Waksman,rectified,signal,3,2.1413926202896056,1.0234974130652297,3.0849008682762373,0.07998916507859741,0.028685304146243998,0.03735380626640039,3.00491170319764,0.9740707502464112,0.9626461937335996,0.023578503080716455
0.01,Robbins,rectified,signal,9,2.1677609768631747,1.9695658737198294,3.9778837535854317,0.15944309699757273,0.02409314434898473,0.07355197307236909,3.818440656587859,0.9599176077345498,0.926448026927631,0.010643213083364125
0.05,Krebs,rectified,signal,5,2.0758033581923527,1.5714689059612488,3.536256908666184,0.11101535548741773,0.03770491618779214,0.053480670531380156,3.425241553178766,0.9686065355672105,0.9465193294686198,0.0285490107926738
0.05,Waksman,rectified,signal,3,2.1473147372292076,1.0410587344130262,3.1060074188380127,0.08236605280422164,0.02990442776441274,0.03835769921204138,3.023641366033791,0.9734816947620055,0.9616423007879586,0.026204965046541687
0.05,Robbins,rectified,signal,8,2.165233832765266,1.949840988202252,3.9777761508730034,0.13729867009451419,0.020717081628849297,0.06341055086838689,3.8404774807784894,0.9654835604400762,0.9365894491316131,0.007931997512199173
0.1,Krebs,rectified,signal,4,2.071437547115035,1.3474727197828191,3.3060646821896427,0.11284558470821161,0.04240488881047184,0.054476942771157034,3.193219097481431,0.9658670971211994,0.945523057228843,0.0388370158209379
0.1,Waksman,rectified,signal,3,2.147798040709119,1.035983512799428,3.098379867777083,0.08540168573146359,0.03133933022964749,0.03976243767466485,3.0129781820456194,0.9724366638772622,0.9602375623253352,0.028403471667393078
0.1,Robbins,rectified,signal,7,2.173160296620287,1.7900717192489082,3.8070539969367965,0.1561780189323992,0.03691463398175035,0.07186677355337674,3.650875978004397,0.9589766735491375,0.9281332264466232,0.018181348038502094
0.2,Krebs,rectified,signal,3,2.0489270284134165,1.0045722859217003,2.967067851850141,0.08643146248497573,0.03358701858601739,0.04218376803389811,2.8806363893651654,0.9708697384756197,0.9578162319661019,0.015973499203852985
0.2,Waksman,rectified,signal,3,2.147798040709119,1.034868305566093,3.0968946720698316,0.08577167420538069,0.031511641949780275,0.03993470176416693,3.011122997864451,0.9723039743718327,0.9600652982358331,0.028351741902610535
0.2,Robbins,rectified,signal,6,2.1737693427762643,1.7450504161165574,3.7450055919094813,0.17381416698334007,0.0491484450578011,0.07995980234101129,3.571191424926141,0.9535877416688404,0.9200401976589887,0.027407909350204988
1.0,Krebs,rectified,signal,3,2.0690888487202477,1.0374220518186676,3.035208024631538,0.07130287590737777,0.0262381765075662,0.03446100246080749,2.96390514872416,0.9765080761092039,0.9655389975391925,0.02477127068725105
1.0,Waksman,rectified,signal,3,2.0618431448230488,1.0342078854248358,3.03837285765242,0.05767817259546533,0.0179989656937392,0.027974083644668028,2.980694685056955,0.9810167562383934,0.972025916355332,0.017774923925907352
1.0,Robbins,rectified,signal,6,2.1612882421627617,1.6296159307065898,3.6341886946875586,0.1567154781817937,0.03635666739837831,0.0725102164184132,3.4774732165057647,0.9568774515173415,0.9274897835815868,0.020824522765225954
2.0,Krebs,rectified,signal,2,1.9386404933527692,0.6684590299779932,2.5752467756828326,0.03185274764792914,0.012094533604198826,0.016430456166136104,2.5433940280349034,0.9876311862813678,0.9835695438338639,0.012457548621974807
2.0,Waksman,rectified,signal,3,2.02527311072281,1.00255565415369,2.948131332541617,0.0796974323348831,0.03043120323458194,0.03935144939856506,2.868433900206734,0.9729667971520879,0.960648550601435,0.023588171898792
2.0,Robbins,rectified,signal,3,2.140929055837551,1.0979212156263285,3.182355920175842,0.05649435128803819,0.008005929435820906,0.026387773632198696,3.125861568887804,0.982247632664257,0.9736122263678013,0.007081958235514624
3.0,Krebs,rectified,signal,2,1.8595213523135872,0.6535610084667933,2.4679536524284393,0.04512870835194123,0.019219304682904753,0.02426899174660877,2.422824944076498,0.9817141183719009,0.9757310082533912,0.01967355669468719
3.0,Waksman,rectified,signal,2,2.0070708912972375,0.6929672357176413,2.640135872181791,0.05990225483308714,0.02516088988727596,0.029845609884945477,2.580233617348704,0.9773109196900596,0.9701543901150546,0.018499483506201155
3.0,Robbins,rectified,signal,3,2.0370878864041764,1.0649466712419748,3.015471680940247,0.08656287670590415,0.02135152118777729,0.04249344237116009,2.928908804234343,0.9712937523993218,0.95750655762884,0.02121587350419982
