correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
absolute,0.005,Krebs,2,7,0.017730286612451476,0.009063790651334709,3,True,signal
absolute,0.005,Waksman,2,9,0.01771582857823336,0.009750827897887525,3,True,signal
absolute,0.005,Robbins,2,8,0.014364463094293132,0.009482663532151476,3,True,signal
absolute,0.01,Krebs,2,9,0.02199480615226831,0.013753078418707649,3,True,signal
absolute,0.01,Waksman,3,11,0.019371512225088188,0.008055627905098488,4,True,signal
absolute,0.01,Robbins,2,10,0.016923868696715944,0.008201696571381574,4,True,signal
absolute,0.05,Krebs,2,9,0.029584694808297667,0.020300168337105986,3,True,signal
absolute,0.05,Waksman,2,10,0.02353752675550936,0.009421085631380225,4,True,signal
absolute,0.05,Robbins,2,11,0.017011195986328553,0.00986833391481265,4,True,signal
absolute,0.1,Krebs,2,8,0.02752705235985015,0.014870248491352545,4,True,signal
absolute,0.1,Waksman,2,9,0.023146241793807604,0.007847548361270983,5,True,signal
absolute,0.1,Robbins,2,8,0.017184468055671993,0.006540917445179321,5,True,signal
absolute,0.2,Krebs,1,5,0.02349924334316057,0.021188619310216605,3,True,signal
absolute,0.2,Waksman,2,7,0.02678634203888763,0.02122617598955176,3,True,signal
absolute,0.2,Robbins,0,7,0.01768188758737019,0.01362342815481854,4,True,signal
absolute,1.0,Krebs,0,3,0.023892528855438355,0.0237287879462906,1,True,signal
absolute,1.0,Waksman,1,4,0.027018640174526588,0.019682894717172144,3,True,signal
absolute,1.0,Robbins,1,5,0.021917121346436443,0.014899431828595829,3,True,signal
absolute,2.0,Krebs,0,3,0.03945079801387577,0.03788029728024371,3,True,signal
absolute,2.0,Waksman,0,3,0.022673350864531143,0.015927401580092176,2,True,signal
absolute,2.0,Robbins,0,4,0.03040077818486212,0.026621024271929635,1,True,signal
absolute,3.0,Krebs,0,2,0.07707436027138534,0.07707436027138533,1,True,signal
absolute,3.0,Waksman,0,2,0.02277116897825653,0.02277116897825653,1,True,signal
absolute,3.0,Robbins,0,2,0.04766737814135457,0.04766737814135457,1,True,signal
