correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
absolute,0.005,Krebs,8,18,0.12909900218103756,0.109581231923147,3,True,total
absolute,0.005,Waksman,12,21,0.09031227355895069,0.06485762036303998,5,True,total
absolute,0.005,Robbins,11,11,0.11830357934289312,0.08713885405505213,4,True,total
absolute,0.01,Krebs,8,19,0.11337115015596873,0.08906666779994175,4,True,total
absolute,0.01,Waksman,12,23,0.08265220377393856,0.060451364535284616,5,True,total
absolute,0.01,Robbins,12,12,0.10228391676218063,0.060364542046648324,4,True,total
absolute,0.05,Krebs,1,18,0.09025260944209416,0.07715717273362147,3,True,total
absolute,0.05,Waksman,7,21,0.07570091006433521,0.059591547150075475,5,True,total
absolute,0.05,Robbins,2,14,0.07499490610155572,0.04030523054732696,5,True,total
absolute,0.1,Krebs,1,15,0.08621886636808844,0.06622673048187186,4,True,total
absolute,0.1,Waksman,1,18,0.06605752144989359,0.046012712727589236,6,True,total
absolute,0.1,Robbins,2,14,0.06464763237696516,0.031556898358625796,8,True,total
absolute,0.2,Krebs,1,13,0.08010964581134963,0.05313692574007921,7,True,total
absolute,0.2,Waksman,1,15,0.06412378882974225,0.03919051725859567,5,True,total
absolute,0.2,Robbins,2,13,0.054229265942381026,0.027395726366433063,5,True,total
absolute,1.0,Krebs,1,10,0.07690563488097496,0.059120756739738586,4,True,total
absolute,1.0,Waksman,1,10,0.07197617102589533,0.04831479536448248,4,True,total
absolute,1.0,Robbins,1,10,0.05273810748559387,0.03182246976209417,4,True,total
absolute,2.0,Krebs,1,8,0.08007803608879073,0.04917544833954184,4,True,total
absolute,2.0,Waksman,1,9,0.07445991262230388,0.04460270116691381,3,True,total
absolute,2.0,Robbins,0,8,0.05484707362077713,0.03906175478303333,4,True,total
absolute,3.0,Krebs,1,7,0.08337435155494281,0.06140869249778043,12,True,total
absolute,3.0,Waksman,1,8,0.08148079741512855,0.05598292681774818,5,True,total
absolute,3.0,Robbins,0,8,0.055532608927217175,0.0327077792450648,7,True,total
