correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
negative,0.005,Krebs,2,2,0.16147283657711115,0.16084583806907635,1,True,conditional
negative,0.005,Waksman,4,2,0.20144300398098675,0.1415745093348978,1,True,conditional
negative,0.005,Robbins,3,1,0.24830368983930295,0.24830368983930295,1,True,conditional
negative,0.01,Krebs,3,2,0.24516583089516455,0.20261120267844193,1,True,conditional
negative,0.01,Waksman,5,3,0.12548782727014599,0.10655303991062687,2,True,conditional
negative,0.01,Robbins,4,2,0.17625110784835865,0.1721728215261289,1,True,conditional
negative,0.05,Krebs,3,4,0.1998687496236842,0.17171766335452243,2,True,conditional
negative,0.05,Waksman,5,4,0.13680252828686756,0.09249148688488884,3,True,conditional
negative,0.05,Robbins,5,3,0.1523550145375072,0.15033902017263118,1,True,conditional
negative,0.1,Krebs,3,3,0.21066561770161316,0.19130970589512403,2,True,conditional
negative,0.1,Waksman,5,4,0.14013691874234188,0.12334092521509096,2,True,conditional
negative,0.1,Robbins,5,3,0.13293102919278277,0.10098715837506572,5,True,conditional
negative,0.2,Krebs,3,3,0.18549698633963735,0.14837482936203372,3,True,conditional
negative,0.2,Waksman,5,3,0.14177155575925204,0.14071458691105657,1,True,conditional
negative,0.2,Robbins,5,3,0.12679831035239802,0.12633567746044372,1,True,conditional
negative,1.0,Krebs,3,3,0.18250064060446974,0.09045246956950513,3,True,conditional
negative,1.0,Waksman,5,3,0.13271127915013234,0.13160445946816074,1,True,conditional
negative,1.0,Robbins,4,3,0.15179749675482143,0.13346203523687294,5,True,conditional
negative,2.0,Krebs,2,2,0.18858959334549974,0.1334750330819275,2,True,conditional
negative,2.0,Waksman,4,3,0.15670007502363667,0.14918766291802338,1,True,conditional
negative,2.0,Robbins,4,3,0.1276163564391171,0.12266645133953379,4,True,conditional
negative,3.0,Krebs,2,2,0.1998623590139586,0.14481074010060194,2,True,conditional
negative,3.0,Waksman,4,3,0.16964786335789303,0.1473016661648767,2,True,conditional
negative,3.0,Robbins,2,1,-0.030913970242152367,0.0,0,False,conditional
