correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
negative,0.005,Krebs,2,2,0.16948696151122,0.15803797007241388,1,True,conditional
negative,0.005,Waksman,4,2,0.2122027899035016,0.2122027899035016,1,True,conditional
negative,0.005,Robbins,3,1,0.24396435823348098,0.24396435823348098,1,True,conditional
negative,0.01,Krebs,3,2,0.23850635380909238,0.20742886380513073,1,True,conditional
negative,0.01,Waksman,5,3,0.12689023379959946,0.11261276222654178,2,True,conditional
negative,0.01,Robbins,4,2,0.16894153966612618,0.16627014146161495,1,True,conditional
negative,0.05,Krebs,3,4,0.2350852281966611,0.1904017209705914,1,True,conditional
negative,0.05,Waksman,5,4,0.13949436346462568,0.10640652834282474,4,True,conditional
negative,0.05,Robbins,5,3,0.1517400512067488,0.1507203432330824,1,True,conditional
negative,0.1,Krebs,3,3,0.20067009825006574,0.19931113741133147,1,True,conditional
negative,0.1,Waksman,5,4,0.13856519409106652,0.12001417596804079,3,True,conditional
negative,0.1,Robbins,5,3,0.13737735360312622,0.13737735360312622,1,True,conditional
negative,0.2,Krebs,3,2,0.20840596483565402,0.20791508479678042,1,True,conditional
negative,0.2,Waksman,5,3,0.13961398066359443,0.13672786228279946,2,True,conditional
negative,0.2,Robbins,5,3,0.13232063227045227,0.13006353070022822,3,True,conditional
negative,1.0,Krebs,3,3,0.18546022350004895,0.14189278445823786,4,True,conditional
negative,1.0,Waksman,4,3,0.13655176848337933,0.12748201809145124,2,True,conditional
negative,1.0,Robbins,4,3,0.1526235426962154,0.1519221630607689,1,True,conditional
negative,2.0,Krebs,2,2,0.19266759417100152,0.19266759417100152,1,True,conditional
negative,2.0,Waksman,4,3,0.1533280764868297,0.1339941280861856,4,True,conditional
negative,2.0,Robbins,4,3,0.1352069410498947,0.11817595659290092,3,True,conditional
negative,3.0,Krebs,2,2,0.1965039545728752,0.19393674859298798,1,True,conditional
negative,3.0,Waksman,4,3,0.1684504651278864,0.14032976788516915,3,True,conditional
negative,3.0,Robbins,2,1,-0.024853928805805343,0.0,0,False,conditional
