correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
negative,0.005,Krebs,3,2,0.22623807550907726,0.15712425012840606,1,True,total
negative,0.005,Waksman,4,3,0.11450070765434814,0.10237166333689429,2,True,total
negative,0.005,Robbins,2,2,0.19059628098440876,0.19059628098440876,1,True,total
negative,0.01,Krebs,3,2,0.20601375015380394,0.20601375015380394,2,True,total
negative,0.01,Waksman,4,3,0.1142596842871662,0.1056362853057037,1,True,total
negative,0.01,Robbins,3,2,0.150707843468856,0.150707843468856,1,True,total
negative,0.05,Krebs,3,3,0.16447489157693523,0.16231678748506334,1,True,total
negative,0.05,Waksman,4,3,0.14077633454849015,0.07277864370239899,6,True,total
negative,0.05,Robbins,4,3,0.11369803019969765,0.10023504339313004,4,True,total
negative,0.1,Krebs,3,3,0.15472406690980545,0.15472406690980545,1,True,total
negative,0.1,Waksman,4,3,0.1369471108167002,0.09992309505604936,3,True,total
negative,0.1,Robbins,4,3,0.10619426962519338,0.0859636046175549,3,True,total
negative,0.2,Krebs,3,2,0.19268574098335345,0.19242888034404104,2,True,total
negative,0.2,Waksman,3,3,0.13554284137062275,0.09835522092003669,3,True,total
negative,0.2,Robbins,4,3,0.1077310714935958,0.07829566128621343,2,True,total
negative,1.0,Krebs,3,2,0.17779832550237204,0.17612250915807393,3,True,total
negative,1.0,Waksman,3,3,0.13224850798740712,0.11569255925881909,3,True,total
negative,1.0,Robbins,4,3,0.11935879778153,0.11540316989898364,1,True,total
negative,2.0,Krebs,3,2,0.18010875731234355,0.16290632301948907,3,True,total
negative,2.0,Waksman,3,3,0.13619219125434465,0.10900628984544693,4,True,total
negative,2.0,Robbins,4,3,0.12643568196110197,0.07750594489964542,4,True,total
negative,3.0,Krebs,3,2,0.17586419500679007,0.17215491756882095,4,True,total
negative,3.0,Waksman,3,3,0.13378138362345687,0.10519106263587714,3,True,total
negative,3.0,Robbins,3,2,0.15763041381703827,0.15189407827795354,2,True,total
