correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
rectified,0.005,Krebs,9,15,0.17697689510762205,0.14206618232444398,3,True,conditional
rectified,0.005,Waksman,4,6,0.24679769759587122,0.1891841337699253,2,True,conditional
rectified,0.005,Robbins,1,1,-0.015884699488240003,0.0,0,False,conditional
rectified,0.01,Krebs,8,16,0.16131415011315697,0.13452349666048788,3,True,conditional
rectified,0.01,Waksman,2,7,0.2207601807637569,0.1638795750767281,3,True,conditional
rectified,0.01,Robbins,2,4,0.13156521047083264,0.13156521047083264,1,True,conditional
rectified,0.05,Krebs,1,7,0.18700740058452628,0.15071671269111955,3,True,conditional
rectified,0.05,Waksman,1,3,0.1997844549647556,0.19863497306335648,1,True,conditional
rectified,0.05,Robbins,2,6,0.1373848756573609,0.10801974884518406,4,True,conditional
rectified,0.1,Krebs,3,11,0.12489287343954028,0.10877919921139678,4,True,conditional
rectified,0.1,Waksman,1,2,0.23860945419108215,0.23860945419108215,1,True,conditional
rectified,0.1,Robbins,1,2,0.07762777039384368,0.07762777039384368,1,True,conditional
rectified,0.2,Krebs,2,7,0.12484847762613907,0.12315866963013389,3,True,conditional
rectified,0.2,Waksman,1,2,0.2640491157663494,0.2595029247155781,1,True,conditional
rectified,0.2,Robbins,1,5,0.11395375916999322,0.08640737090238487,3,True,conditional
rectified,1.0,Krebs,1,4,0.15671635209003368,0.15671635209003368,1,True,conditional
rectified,1.0,Waksman,2,2,0.29508461870851377,0.2921400372029288,1,True,conditional
rectified,1.0,Robbins,1,2,0.09689897889094762,0.09689897889094762,1,True,conditional
rectified,2.0,Krebs,1,3,0.18495011914497606,0.18323755426445104,1,True,conditional
rectified,2.0,Waksman,2,3,0.25045434508394093,0.22683619090857168,1,True,conditional
rectified,2.0,Robbins,2,4,0.11431203225160266,0.09096637964756603,2,True,conditional
rectified,3.0,Krebs,1,3,0.1717368707595678,0.16935364908508876,2,True,conditional
rectified,3.0,Waksman,1,2,0.2827511609816608,0.2771136436086615,1,True,conditional
rectified,3.0,Robbins,2,2,0.06902873040712565,0.06612881042158135,1,True,conditional
