correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
rectified,0.005,Krebs,8,16,0.14630910823262092,0.1243971190711292,3,True,conditional
rectified,0.005,Waksman,7,16,0.18382931096541433,0.11412976933111055,3,True,conditional
rectified,0.005,Robbins,0,2,0.21324624530430472,0.21324624530430472,1,True,conditional
rectified,0.01,Krebs,7,16,0.14498717789420654,0.12063733312045151,3,True,conditional
rectified,0.01,Waksman,6,16,0.17955999990255073,0.1044013754884242,3,True,conditional
rectified,0.01,Robbins,0,3,0.20978144779104232,0.20978144779104227,1,True,conditional
rectified,0.05,Krebs,1,15,0.11402384941886169,0.08799288787608285,4,True,conditional
rectified,0.05,Waksman,3,15,0.15951718950713809,0.12340462593200992,3,True,conditional
rectified,0.05,Robbins,0,5,0.20045149219477568,0.20650239251629166,2,True,conditional
rectified,0.1,Krebs,1,13,0.10684461429903194,0.08521954011653678,3,True,conditional
rectified,0.1,Waksman,1,12,0.15760129010291643,0.11653784375620882,3,True,conditional
rectified,0.1,Robbins,0,7,0.17611357274651032,0.15978090865697456,3,True,conditional
rectified,0.2,Krebs,1,11,0.09957175896431864,0.07972116082270042,8,True,conditional
rectified,0.2,Waksman,1,10,0.15464731519046207,0.11209704601326947,5,True,conditional
rectified,0.2,Robbins,0,8,0.1513584601912997,0.09955892253996965,10,True,conditional
rectified,1.0,Krebs,0,9,0.09474666523045344,0.0920478681510619,2,True,conditional
rectified,1.0,Waksman,0,8,0.15686453425835767,0.14063783909940267,3,True,conditional
rectified,1.0,Robbins,1,7,0.13330591099263722,0.12354332797767532,3,True,conditional
rectified,2.0,Krebs,0,7,0.09999916742302568,0.09479950141931491,2,True,conditional
rectified,2.0,Waksman,0,7,0.18017535877080543,0.1679905299295765,3,True,conditional
rectified,2.0,Robbins,1,6,0.1658659932105719,0.1375411996663457,5,True,conditional
rectified,3.0,Krebs,0,6,0.11375248535325234,0.10627328699362618,2,True,conditional
rectified,3.0,Waksman,0,7,0.18326748695055553,0.16179310938258926,2,True,conditional
rectified,3.0,Robbins,1,2,0.16585128810615163,0.16585128810615163,1,True,conditional
