correction,bin_width,mouse_name,below_space_dims,exceeding_space_dims,max_modularity,consensus_modularity,consensus_iterations,is_converged,correlation_type
rectified,0.005,Krebs,8,16,0.15783455262636187,0.13678966044749966,3,True,total
rectified,0.005,Waksman,7,14,0.19317627488666372,0.11282990657502712,4,True,total
rectified,0.005,Robbins,3,6,0.18668775055893422,0.17223844019844428,5,True,total
rectified,0.01,Krebs,7,16,0.14841945771167245,0.14027969687712338,2,True,total
rectified,0.01,Waksman,5,14,0.18413204051646856,0.11180342939940911,3,True,total
rectified,0.01,Robbins,1,5,0.16308946072175115,0.15351843198715262,3,True,total
rectified,0.05,Krebs,1,14,0.12668623724360858,0.09744678084367644,3,True,total
rectified,0.05,Waksman,0,10,0.16602883612285751,0.1079974187684922,3,True,total
rectified,0.05,Robbins,1,8,0.11882043881817278,0.08125075773055757,5,True,total
rectified,0.1,Krebs,1,12,0.11727914351085923,0.08694189666537955,3,True,total
rectified,0.1,Waksman,0,8,0.1675727708946695,0.13268725556884994,3,True,total
rectified,0.1,Robbins,0,8,0.09885160251865757,0.07231343969875369,4,True,total
rectified,0.2,Krebs,1,10,0.11316671834153191,0.08635516860299726,16,True,total
rectified,0.2,Waksman,0,8,0.1621616599939944,0.11620683214050002,3,True,total
rectified,0.2,Robbins,0,8,0.09171373993865418,0.06383814549247036,7,True,total
rectified,1.0,Krebs,0,8,0.10944328896722305,0.1009045482494163,6,True,total
rectified,1.0,Waksman,0,6,0.19206709660000007,0.18004381802090422,3,True,total
rectified,1.0,Robbins,0,6,0.10510415039217504,0.06898590669473019,4,True,total
rectified,2.0,Krebs,0,7,0.10739022649084147,0.10099065929277183,3,True,total
rectified,2.0,Waksman,0,6,0.20253098510479442,0.19850069741931137,1,True,total
rectified,2.0,Robbins,0,6,0.1099683496719669,0.07769801189796334,4,True,total
rectified,3.0,Krebs,0,6,0.11426650532213045,0.10125328286819535,3,True,total
rectified,3.0,Waksman,0,5,0.22446130989530722,0.21163156771793315,3,True,total
rectified,3.0,Robbins,0,5,0.1110420245988798,0.08854604790891081,4,True,total
