,first_region,mean_corr,mean_info,mean_shuff_corr,num_pairs,second_region,std_corr,std_info,std_shuff_corr,mouse_name
0,LS,0.018337662900462095,0.32437471680773006,-0.00038617467317200396,3025.0,FrMoCtx,0.15566618132169469,0.2716716691240308,0.03981966177330217,Krebs
1,LS,0.02908482062291523,0.24099581497845102,0.000651530710449743,3080.0,CP,0.18175372908804452,0.2026279046644735,0.039728274873763264,Krebs
2,LS,0.03041850448095109,0.6022644778161992,0.000369638236752216,3080.0,MB,0.1862709375272167,0.4299516867502205,0.03867544897327952,Krebs
3,LS,0.03291826511093594,0.572517972138155,-0.000616630454212642,2310.0,SC,0.21581911189824654,0.46495829481791023,0.03867344960347876,Krebs
4,LS,0.02587776486860319,0.3027752790178411,-0.0009393200673972535,3300.0,V1,0.15170561337014454,0.29267124649468745,0.03933297902825214,Krebs
5,LS,0.030284450674073676,0.5234581474771888,-4.0668497054476176e-05,3245.0,TH,0.2161755211306776,0.3766744810876295,0.03905446594357737,Krebs
6,LS,0.04542004240587042,0.5167589999660126,7.807047563014425e-05,3135.0,HPF,0.21769736945696605,0.3895953563964859,0.0385248265481931,Krebs
7,LS,0.04254728337664355,0.430932588584732,0.0007044749510569303,3025.0,SomMoCtx,0.18542680165640846,0.3431543571929525,0.039849923610825455,Krebs
8,FrMoCtx,0.07088111559630264,0.24336341217581875,0.001473963659427487,3080.0,CP,0.13250108617271797,0.23647370396728898,0.039212321019962124,Krebs
9,FrMoCtx,0.09521528661490913,0.620102448249816,0.0008587431805583767,3080.0,MB,0.16361631210752395,0.4988167874922393,0.04027765620120867,Krebs
10,FrMoCtx,0.11695956349260266,0.5857515657793648,0.0009067712312840761,2310.0,SC,0.16266589137507462,0.5189983208535379,0.03920630202392746,Krebs
11,FrMoCtx,0.060529707147245544,0.3167872119950388,0.00037171777628472447,3300.0,V1,0.12082446390816426,0.33667207225252155,0.038820830750861214,Krebs
12,FrMoCtx,0.04209949158403246,0.5187427735605958,-3.2619071653970796e-05,3245.0,TH,0.164296248571368,0.43304999062079,0.03886510668904409,Krebs
13,FrMoCtx,0.10340810658788764,0.5119596764362713,0.0005898296934120727,3135.0,HPF,0.15586767912130314,0.4446047260946881,0.03956231529705042,Krebs
14,FrMoCtx,0.05051636445644421,0.43243064795105457,-0.000665286758254916,3025.0,SomMoCtx,0.15345239561945184,0.3946994164835715,0.03931197792997808,Krebs
15,CP,0.0746448601576546,0.42740531216318206,0.0017023544639060157,3136.0,MB,0.17202281689629023,0.37214921836807335,0.03931238550865945,Krebs
16,CP,0.11142093250656629,0.40806402421783017,0.0008806192351405606,2352.0,SC,0.1840443989576117,0.38638414965373336,0.038834018913438045,Krebs
17,CP,0.09660703164412657,0.23582934388526736,0.0014096679279662684,3360.0,V1,0.14188555733144143,0.2420808430765381,0.03946281608041044,Krebs
18,CP,0.05105721247253171,0.3674182929282944,-0.00022851750332262814,3304.0,TH,0.19286643593389516,0.32066702791238216,0.03851929314270794,Krebs
19,CP,0.10703621986958617,0.36496211118451966,-9.235231541363216e-05,3192.0,HPF,0.1821646163848914,0.32866831164747967,0.03914922076732044,Krebs
20,CP,0.0743322666375441,0.30716533194502305,0.00045228573614452096,3080.0,SomMoCtx,0.16252196334641408,0.2820613108743737,0.03952386851818241,Krebs
21,MB,0.1753767965946058,0.9850376864600298,0.000905349062378798,2352.0,SC,0.19714072404708435,0.7337721234967453,0.038816013717521254,Krebs
22,MB,0.07650862223903132,0.5757936444741926,-0.0005350015455747346,3360.0,V1,0.1619977669168259,0.5241009289594682,0.03976434279479641,Krebs
23,MB,0.1532408392980237,0.9085422920005441,0.0007905194396535885,3304.0,TH,0.20050673138628589,0.6291775083014818,0.038787435417987653,Krebs
24,MB,0.16124047169311576,0.8936389795900563,-0.00021136452061735713,3192.0,HPF,0.21148734271324196,0.6553076832292105,0.03922186058400181,Krebs
25,MB,0.08545826517514585,0.7574623960458168,-0.00044812934997978166,3080.0,SomMoCtx,0.1765156640784425,0.5955247283617764,0.03909760326176797,Krebs
26,SC,0.10969470557246037,0.54313829503958,0.001048462730261805,2520.0,V1,0.16053286946392695,0.5336795043304552,0.039118277804649125,Krebs
27,SC,0.14716291689959843,0.8518659153102668,0.0009068538744842596,2478.0,TH,0.21526144262414373,0.6536208154479953,0.03818785377198893,Krebs
28,SC,0.21471829047186408,0.8443426422467042,0.0015401665725239592,2394.0,HPF,0.2217304550451447,0.6792271377955095,0.03810993308730651,Krebs
29,SC,0.10296672733432244,0.7101376574742253,-0.0001534138392124522,2310.0,SomMoCtx,0.1858103343136332,0.613687811710457,0.039718777736328786,Krebs
30,V1,0.05372396427637287,0.4882371601125365,0.0007077179273521068,3540.0,TH,0.18321513399877115,0.45420416499529565,0.03968844718187057,Krebs
31,V1,0.1074354634088995,0.48296154919167916,-0.0012495767582388474,3420.0,HPF,0.17250488468283662,0.46657030017097256,0.0397235241085115,Krebs
32,V1,0.08214022898680914,0.40627645543885343,0.0006410419070999288,3300.0,SomMoCtx,0.1547873181978343,0.41111278616786645,0.03872755348746679,Krebs
33,TH,0.1421363812119847,0.7778728498687452,-0.0005287630256935789,3363.0,HPF,0.23808878469092074,0.5814853819788092,0.038648935231486825,Krebs
34,TH,0.08255084021665109,0.6603052810678438,0.0005159004231222696,3245.0,SomMoCtx,0.1972390894529704,0.5281592181395665,0.039005095283452876,Krebs
35,HPF,0.11270621579542156,0.6487543486772889,-0.0007635839648093524,3135.0,SomMoCtx,0.1905323542204116,0.543964033712621,0.0393496711698445,Krebs
