2019-08-01T12:22:07.398340 INFO: Loading cell info...
2019-08-01T12:22:07.416561 INFO: Processing mouse Krebs...
2019-08-01T12:22:09.996059 INFO: Processing bin width 0.005...
2019-08-01T12:24:26.705502 INFO: Processing bin width 0.01...
2019-08-01T12:25:34.010675 INFO: Processing bin width 0.02...
2019-08-01T12:26:08.796491 INFO: Processing bin width 0.03...
2019-08-01T12:26:33.185896 INFO: Processing bin width 0.04...
2019-08-01T12:26:52.030085 INFO: Processing bin width 0.05...
2019-08-01T12:27:08.525826 INFO: Processing bin width 0.06...
2019-08-01T12:27:24.462375 INFO: Processing bin width 0.07...
2019-08-01T12:27:38.820214 INFO: Processing bin width 0.08...
2019-08-01T12:27:51.480855 INFO: Processing bin width 0.09...
2019-08-01T12:28:04.129372 INFO: Processing bin width 0.1...
2019-08-01T12:28:15.314182 INFO: Processing bin width 0.2...
2019-08-01T12:28:22.368075 INFO: Processing bin width 0.3...
2019-08-01T12:28:28.757551 INFO: Processing bin width 0.4...
2019-08-01T12:28:35.192111 INFO: Processing bin width 0.5...
2019-08-01T12:28:41.570248 INFO: Processing bin width 0.6...
2019-08-01T12:28:47.111996 INFO: Processing bin width 0.7...
2019-08-01T12:28:51.803606 INFO: Processing bin width 0.8...
2019-08-01T12:28:56.440971 INFO: Processing bin width 0.9...
2019-08-01T12:29:01.119857 INFO: Processing bin width 1.0...
2019-08-01T12:29:06.266322 INFO: Processing bin width 1.2...
2019-08-01T12:29:11.054676 INFO: Processing bin width 1.3...
2019-08-01T12:29:15.943891 INFO: Processing bin width 1.4...
2019-08-01T12:29:20.906323 INFO: Processing bin width 1.5...
2019-08-01T12:29:25.557116 INFO: Processing bin width 1.6...
2019-08-01T12:29:29.599959 INFO: Processing bin width 1.7...
2019-08-01T12:29:34.341649 INFO: Processing bin width 1.8...
2019-08-01T12:29:38.916015 INFO: Processing bin width 1.9...
2019-08-01T12:29:43.578144 INFO: Processing bin width 2.0...
2019-08-01T12:29:47.744724 INFO: Processing bin width 2.1...
2019-08-01T12:29:51.795945 INFO: Processing bin width 2.2...
2019-08-01T12:29:55.938568 INFO: Processing bin width 2.3...
2019-08-01T12:30:00.011046 INFO: Processing bin width 2.4...
2019-08-01T12:30:04.437667 INFO: Processing bin width 2.5...
2019-08-01T12:30:08.401043 INFO: Processing bin width 2.75...
2019-08-01T12:30:12.015068 INFO: Processing bin width 3.0...
2019-08-01T12:30:15.946811 INFO: Processing bin width 3.25...
2019-08-01T12:30:19.717865 INFO: Processing bin width 3.5...
2019-08-01T12:30:23.433330 INFO: Processing bin width 3.75...
2019-08-01T12:30:27.479189 INFO: Processing bin width 4.0...
2019-08-01T12:30:31.242900 INFO: /home/thomas/Eight_Probe/npy/Krebs_all_bins.npy saved.
2019-08-01T12:30:31.242973 INFO: Processing mouse Waksman...
2019-08-01T12:30:40.722411 INFO: Processing bin width 0.005...
2019-08-01T12:35:13.629497 INFO: Processing bin width 0.01...
2019-08-01T12:37:22.869793 INFO: Processing bin width 0.02...
2019-08-01T12:38:30.168029 INFO: Processing bin width 0.03...
2019-08-01T12:39:15.327382 INFO: Processing bin width 0.04...
2019-08-01T12:39:48.958587 INFO: Processing bin width 0.05...
2019-08-01T12:40:19.755134 INFO: Processing bin width 0.06...
2019-08-01T12:40:44.667841 INFO: Processing bin width 0.07...
