2019-08-01T13:14:04.555485 INFO: Loading cell info...
2019-08-01T13:14:04.568024 INFO: Processing mouse Krebs...
2019-08-01T13:14:05.518505 INFO: Processing bin width 0.005...
2019-08-01T13:17:48.401286 INFO: Processing bin width 0.01...
2019-08-01T13:19:39.668263 INFO: Processing bin width 0.02...
2019-08-01T13:20:37.376800 INFO: Processing bin width 0.03...
2019-08-01T13:21:20.010031 INFO: Processing bin width 0.04...
2019-08-01T13:21:54.304002 INFO: Processing bin width 0.05...
2019-08-01T13:22:23.225624 INFO: Processing bin width 0.06...
2019-08-01T13:22:48.657343 INFO: Processing bin width 0.07...
2019-08-01T13:23:12.510915 INFO: Processing bin width 0.08...
2019-08-01T13:23:32.970627 INFO: Processing bin width 0.09...
2019-08-01T13:23:51.479675 INFO: Processing bin width 0.1...
2019-08-01T13:24:08.874063 INFO: Processing bin width 0.2...
2019-08-01T13:24:20.706203 INFO: Processing bin width 0.3...
2019-08-01T13:24:30.803283 INFO: Processing bin width 0.4...
2019-08-01T13:24:40.011809 INFO: Processing bin width 0.5...
2019-08-01T13:24:48.680318 INFO: Processing bin width 0.6...
2019-08-01T13:24:57.094181 INFO: Processing bin width 0.7...
2019-08-01T13:25:05.216506 INFO: Processing bin width 0.8...
2019-08-01T13:25:12.876871 INFO: Processing bin width 0.9...
2019-08-01T13:25:20.380551 INFO: Processing bin width 1.0...
2019-08-01T13:25:29.444269 INFO: Processing bin width 1.2...
2019-08-01T13:25:38.147237 INFO: Processing bin width 1.3...
2019-08-01T13:25:46.959386 INFO: Processing bin width 1.4...
2019-08-01T13:25:54.715547 INFO: Processing bin width 1.5...
2019-08-01T13:26:01.783596 INFO: Processing bin width 1.6...
2019-08-01T13:26:09.361027 INFO: Processing bin width 1.7...
2019-08-01T13:26:16.577934 INFO: Processing bin width 1.8...
2019-08-01T13:26:23.469457 INFO: Processing bin width 1.9...
2019-08-01T13:26:30.530489 INFO: Processing bin width 2.0...
2019-08-01T13:26:37.637399 INFO: Processing bin width 2.1...
2019-08-01T13:26:44.943425 INFO: Processing bin width 2.2...
2019-08-01T13:26:51.552383 INFO: Processing bin width 2.3...
2019-08-01T13:26:58.514979 INFO: Processing bin width 2.4...
2019-08-01T13:27:05.441975 INFO: Processing bin width 2.5...
2019-08-01T13:27:11.982015 INFO: Processing bin width 2.75...
2019-08-01T13:27:19.080139 INFO: Processing bin width 3.0...
2019-08-01T13:27:26.166501 INFO: Processing bin width 3.25...
2019-08-01T13:27:32.756933 INFO: Processing bin width 3.5...
2019-08-01T13:27:39.476832 INFO: Processing bin width 3.75...
2019-08-01T13:27:46.185915 INFO: Processing bin width 4.0...
2019-08-01T13:27:52.693172 INFO: /home/thomas/Eight_Probe/npy/Krebs_all_bins.npy saved.
2019-08-01T13:27:52.693208 INFO: Processing mouse Waksman...
2019-08-01T13:27:56.800218 INFO: Processing bin width 0.005...
2019-08-01T13:34:53.539637 INFO: Processing bin width 0.01...
2019-08-01T13:38:30.484468 INFO: Processing bin width 0.02...
2019-08-01T13:40:21.649152 INFO: Processing bin width 0.03...
2019-08-01T13:41:36.702454 INFO: Processing bin width 0.04...
2019-08-01T13:42:32.326618 INFO: Processing bin width 0.05...
